package_volume_info,package_price,ussd_code_block
 60 مگابایت یک‌روزه   ,"  1,600 تومان  ",    *100*3154#    
 150 مگابایت یک‌روزه   ,"  2,700 تومان  ",    *100*3153#    
 250 مگابایت یک‌روزه   ,"  3,600 تومان  ",    *100*314#    
 500 مگابایت یک‌روزه   ,"  4,900 تومان  ",    *100*313#    
 750 مگابایت یک‌روزه   ,"  5,900 تومان  ",    *100*312#    
 1 گیگابایت یک‌روزه   ,"  6,400 تومان  ",    *100*311#    
 3 گیگابایت یک‌روزه   ,"  9,900 تومان  ",    *100*3151#    
 200 مگابایت هفت‌روزه   ,"  4,400 تومان  ",    *100*3255#    
 300 مگابایت هفت‌روزه   ,"  5,500 تومان  ",    *100*3254#    
 500 مگابایت هفت‌روزه   ,"  7,000 تومان  ",    *100*324#    
 750 مگابایت هفت‌روزه   ,"  8,300 تومان  ",    *100*323#    
 1.5 گیگابایت هفت‌روزه   ,"  10,900 تومان  ",    *100*322#    
 2.5 گیگابایت هفت‌روزه   ,"  13,000 تومان  ",    *100*321#    
 4 گیگابایت هفت‌روزه   ,"  16,000 تومان  ",    *100*3252#    
 6 گیگابایت هفت‌روزه   ,"  19,500 تومان  ",    *100*3251#    
 1 گیگابایت سی‌روزه +  (100 مگابایت هدیه صبحانت سی‌روزه)    ,"  10,400 تومان  ",    *100*264#    
 2 گیگابایت سی‌روزه +  (200 مگابایت هدیه صبحانت سی‌روزه)    ,"  13,900 تومان  ",    *100*263#    
 3 گیگابایت سی‌روزه   ,"  19,000 تومان  ",    *100*24#    
 4 گیگابایت سی‌روزه   ,"  21,300 تومان  ",    *100*23#    
 5 گیگابایت سی‌روزه   ,"  23,600 تومان  ",    *100*22#    
 7 گیگابایت سی‌روزه   ,"  28,200 تومان  ",    *100*21#    
 10 گیگابایت سی‌روزه +  (1گیگابایت هدیه صبحانت سی‌روزه)    ,"  29,400 تومان  ",    *100*262#    
 15 گیگابایت سی‌روزه +  (1.5گیگابایت هدیه صبحانت سی‌روزه)    ,"  36,900 تومان  ",    *100*261#    
 1 بامداد تا 11 صبح سی‌روزه  نامحدود   سیاست مصرف منصفانه: 450 گیگابایت  ,"  19,900 تومان  ",    *100*33232#    
 8 گیگابایت  سی‌روزه   صبحانت: 6 صبح تا 12 ظهر  ,"  8,000 تومان  ",    *100*33123#    
 12 گیگابایت  سی‌روزه   صبحانت: 6 صبح تا 12 ظهر  ,"  10,000 تومان  ",    *100*33124#    
 12 گیگابایت دو ماهه   ,"  46,000 تومان  ",    *100*412#    
 18 گیگابایت دو ماهه   ,"  62,000 تومان  ",    *100*411#    
 16 گیگابایت سه‌ماهه   ,"  44,000 تومان  ",    *100*422#    
 25 گیگابایت سه‌ماهه   ,"  64,000 تومان  ",    *100*421#    
 15 گیگابایت چهار ماهه   ,"  62,000 تومان  ",    *100*432#    
 25 گیگابایت چهار ماهه   ,"  89,900 تومان  ",    *100*431#    
 35 گیگابایت شش‌ماهه   ,"  99,000 تومان  ",    *100*442#    
 50 گیگابایت شش‌ماهه   ,"  119,000 تومان  ",    *100*441#    
 45 گیگابایت یک‌ساله   ,"  112,000 تومان  ",    *100*452#    
 70 گیگابایت یک‌ساله   ,"  159,000 تومان  ",    *100*451#    
 2 گیگابایت سی‌روزه  (ویژه مشترکین جدید)    ,"  10,400 تومان  ",    *100*61131#    
 3 گیگابایت سی‌روزه  (ویژه مشترکین جدید)    ,"  12,400 تومان  ",    *100*61132#    
 5 گیگابایت سی‌روزه  (ویژه مشترکین جدید)    ,"  15,400 تومان  ",    *100*61133#    
 7 گیگابایت سی‌روزه  (ویژه مشترکین جدید)    ,"  18,400 تومان  ",    *100*611341#    
 10 گیگابایت سی‌روزه  (ویژه مشترکین جدید)    ,"  21,900 تومان  ",    *100*611342#    
 15 گیگابایت سی‌روزه  (ویژه مشترکین جدید)    ,"  27,400 تومان  ",    *100*611343#    
