type,package_volume_info,package_price,ussd_code_block
سيم کارت اعتباری,۱ روزه ۵۰ مگابایت,15260.000000000002,*200*1101#
سيم کارت اعتباری,۱روزه ۱۰۰ مگابایت,21800.0,*200*1102#
سيم کارت اعتباری,۱روزه ۳۰۰ مگابایت,40330.0,*200*1104#
سيم کارت اعتباری,۱روزه ۵۰۰ مگابایت,51230.00000000001,*200*1105#
سيم کارت اعتباری,۱ روزه ۱ گیگابایت,67580.0,*200*1106#
سيم کارت اعتباری,۱روزه ۳ گیگابایت,103550.00000000001,*200*1108#
سيم کارت اعتباری,۳ روزه ۱۵۰ مگابایت,35970.0,*200*1301#
سيم کارت اعتباری,۳ روزه ۱ گیگابایت,89380.0,*200*1303#
سيم کارت اعتباری,۳روزه ۳ گیگابایت,129710.00000000001,*200*1304#
سيم کارت اعتباری,۷ روزه ۵۰۰ مگابایت,75210.0,*200*1703#
سيم کارت اعتباری,۷ روزه ۱ گیگابایت,103550.00000000001,*200*1704#
سيم کارت اعتباری,۷ روزه ۳ گیگابایت,151510.0,*200*1706#
سيم کارت اعتباری,۷ روزه ۶ گیگابایت,206010.00000000003,*200*1707#
سيم کارت اعتباری,۱۵روزه ۱.۵ گیگابایت,119900.00000000001,*200*1502#
سيم کارت اعتباری,۱۵ روزه ۳ گیگابایت,173310.0,*200*1503#
سيم کارت اعتباری,۱۵ روزه ۵ گیگابایت,195110.0,*200*1504#
سيم کارت اعتباری,۱۵ روزه ۴۰ گیگابایت,981000.0000000001,
سيم کارت اعتباری,۱ ماهه ۱ گیگابایت,107910.00000000001,*200*3002#
سيم کارت اعتباری, ۱ ماهه ۲ گیگابایت,147150.0,*200*3003#
سيم کارت اعتباری,۱ ماهه ۳ گیگابایت,195110.0,*200*3005#
سيم کارت اعتباری,۱ ماهه ۴ گیگابایت ,216910.00000000003,*200*3004#
سيم کارت اعتباری,۱ ماهه ۵گیگابایت,238710.00000000003,*200*3006#
سيم کارت اعتباری,۱ ماهه ۷ گیگابایت,271410.0,*200*3007#
سيم کارت اعتباری,۱ ماهه ۱۰ گیگابایت,315010.0,*200*3009#
سيم کارت اعتباری,۱ ماهه ۱۵ گیگابایت,434910.00000000006,
سيم کارت اعتباری,۱ ماهه ۲۰ گیگابایت,543910.0,
سيم کارت اعتباری,۲ ماهه ۱۲ گیگابایت,457800.00000000006,*200*6001#
سيم کارت اعتباری,۲ ماهه ۲۰ گیگابایت,741200.0,
سيم کارت اعتباری,۳ ماهه ۱۵ گیگابایت,599500.0,*200*9001#
سيم کارت اعتباری,۳ ماهه ۲۵ گیگابایت,817500.0000000001,
سيم کارت اعتباری,۶ ماهه ۳۵ گیگابایت,1035500.0000000001,*200*1801#
سيم کارت اعتباری,۶ ماهه ۵۵ گیگابایت,1515100.0,
